creator,cluster_id
techtalkng,4
sydnie_green,0
tashaeliett,1
techcraze1,4
thanhxuan1209,1
thatguywhoduets,2
theeprettychef_home,7
thantamthao47,0
thatandu,7
thegeomedic,2
thepandaman_official,2
tokimino8236,0
tipsfromdeadpeople,2
tortoise_walk,2
theukphonefixer,3
tiktok.tabbi,0
trieukhanhnuhuong,6
tranthutrang205,1
user07824477,6
tristen.erickson_,1
trutech,3
vieon.official,5
watan9464,1
walid_alsaleh,2
vitoriamassarico,0
weddingplanner.veracruz,6
wiambaashar1,0
woke_reg,2
yosoylauniversa,0
wyamarce,2
xmaciek00,2
younesidrissi_,2
yulia_chash,0
zyad_tasty,7
zanysena,0
..khatho,0
